Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Shane Smith,Lake Terrifort,Frontend Developer,Swift,Microsoft Azure Fundamentals,49,16,41,2,6192
Lance Brown,Johnsonshire,Mobile Developer,Go,Certified Ethical Hacker,32,12,8,2,2974
Ashley Mitchell,Melissaville,Frontend Developer,JavaScript,Google Cloud Engineer,48,8,34,6,5600
Jacqueline Salazar,Port Danielland,QA Tester,Go,Google Cloud Engineer,29,2,76,3,6112
Vincent Brown,Alisonberg,Mobile Developer,Ruby,CompTIA Security+,49,3,41,5,4731
Tracy Thomas,East Christopher,Cloud Architect,Go,PMI-ACP,50,8,31,6,4715
Scott Hicks,East Shannonton,Frontend Developer,Python,AWS Certified Developer,24,4,148,7,3326
Stephanie Hart,South Andrew,Cybersecurity Specialist,PHP,Certified Scrum Master,34,2,58,2,4382
William Douglas,Hollowayville,Database Administrator,Kotlin,Cisco CCNA,50,27,37,10,7749
Amanda Boyd,West Biancaberg,Cloud Architect,Go,Certified Scrum Master,54,11,90,2,6977
Gloria Brandt,New Catherineview,AI/ML Engineer,Kotlin,Certified Scrum Master,46,26,69,6,3001
Chelsey Estrada,South Crystal,Cybersecurity Specialist,Kotlin,AWS Certified Developer,50,14,70,8,4596
David Stewart,Alexanderside,QA Tester,Swift,Microsoft Azure Fundamentals,27,3,29,1,4643
Michael Martin,Meaganstad,Cybersecurity Specialist,TypeScript,PMI-ACP,37,7,92,8,7655
Eddie Lutz,Jamieburgh,Database Administrator,JavaScript,CompTIA Security+,36,2,94,0,2863
Lee Cooper,Andrewland,Cloud Architect,TypeScript,Certified Scrum Master,30,7,35,10,4820
Nicholas Johnson,Jonathontown,Mobile Developer,PHP,PMI-ACP,44,21,63,7,7420
Dennis Lawrence,East Debratown,Backend Developer,Go,Certified Scrum Master,58,4,118,5,3430
Michael Nguyen,Rodrigueztown,Backend Developer,C#,AWS Certified Solutions Architect,34,12,25,2,4203
Jodi Bell,New Nichole,Cybersecurity Specialist,Java,Oracle Certified Professional,43,0,51,6,7188
Beth Kelly,West Linda,Cloud Architect,JavaScript,Certified Ethical Hacker,44,6,114,5,4709
Shawn Rodriguez,Joshuaborough,DevOps Engineer,Go,Cisco CCNA,50,6,121,3,7098
Blake Nguyen,Lake Daniel,Mobile Developer,Python,Cisco CCNA,39,16,64,3,5647
Amanda Snyder,Mccormickchester,AI/ML Engineer,PHP,AWS Certified Solutions Architect,43,10,91,3,4603
Eric Johnson,New Jessica,Cybersecurity Specialist,Swift,AWS Certified Solutions Architect,22,0,26,0,4559
John Larsen DDS,Leonshire,Frontend Developer,Ruby,AWS Certified Developer,55,24,50,9,4058
Corey Spencer,Martintown,Data Scientist,Ruby,Oracle Certified Professional,22,0,25,7,1877
